ID,Location,Latitude,Longitude,Habitat state,Habitat type,Dominant plant,Core depth,Soil carbon stock MgC_ha,Reference,Reference_detail
24,laizhou bay2,38°03'20.90''N,118°54'55.10''E,degraded,salt marsh,Tamarix chinensis,0-30,36.91,missing ref,NA
25,laizhou bay3,38°03'20.68''N,118°54'56.94''E,degraded,salt marsh,Suaeda salsa,0-30,63.49,missing ref,NA
26,laizhou bay4,38°03'19.79''N,118°54'40.85''E,degraded,salt marsh,Phragmites australis,0-30,54.38,missing ref,NA
27,Dongshui,"19°58'37.58""N","110°03'26.21""E",Natural,seagrass beds,Halophila beccarii,0-100,223.2,Jiang et al. 2017 ,"Jiang, Z., Liu, S., Zhang, J., Zhao, C., Wu, Y., & Yu, S., et al., 2017. Newly discovered seagrass beds and their potential for blue carbon in the coastal seas of Hainan island, south china sea. Marine Pollution Bulletin, 125, 513-521."
28,Hongpai,"19°58'31.03""N","109°49'26.30""E",Natural,seagrass beds,Halophila ovalis,0-100,228,Jiang et al. 2017 ,"Jiang, Z., Liu, S., Zhang, J., Zhao, C., Wu, Y., & Yu, S., et al., 2017. Newly discovered seagrass beds and their potential for blue carbon in the coastal seas of Hainan island, south china sea. Marine Pollution Bulletin, 125, 513-521."
29,Baocai,"19°56'57.65""N","109°32'57.43""E",Natural,seagrass beds,Thalassia hemprichii,0-100,46.2,Jiang et al. 2017,"Jiang, Z., Liu, S., Zhang, J., Zhao, C., Wu, Y., & Yu, S., et al., 2017. Newly discovered seagrass beds and their potential for blue carbon in the coastal seas of Hainan island, south china sea. Marine Pollution Bulletin, 125, 513-521."
30,Huanglong,"19°55'1.44""N","109°31'42.58""E",Natural,seagrass beds,Halophila ovalis,0-100,132.25,Jiang et al. 2017,"Jiang, Z., Liu, S., Zhang, J., Zhao, C., Wu, Y., & Yu, S., et al., 2017. Newly discovered seagrass beds and their potential for blue carbon in the coastal seas of Hainan island, south china sea. Marine Pollution Bulletin, 125, 513-521."
31,Yangpu,"19°43'43.85""N","109°13'21.40""E",Natural,seagrass beds,Halophila beccarii,0-100,86.19,Jiang et al. 2017,"Jiang, Z., Liu, S., Zhang, J., Zhao, C., Wu, Y., & Yu, S., et al., 2017. Newly discovered seagrass beds and their potential for blue carbon in the coastal seas of Hainan island, south china sea. Marine Pollution Bulletin, 125, 513-521."
32,Xinglong,"19°01'55.64""N","108°37'45.20""E",Natural,seagrass beds,Ruppia brevipedunculata,0-100,112.23,Jiang et al. 2017,"Jiang, Z., Liu, S., Zhang, J., Zhao, C., Wu, Y., & Yu, S., et al., 2017. Newly discovered seagrass beds and their potential for blue carbon in the coastal seas of Hainan island, south china sea. Marine Pollution Bulletin, 125, 513-521."
33,Yingge,"18°30'50.71""N","108°41'1.69""E",Natural,seagrass beds,Halodule pinifolia,0-100,187.2,Jiang et al. 2017,"Jiang, Z., Liu, S., Zhang, J., Zhao, C., Wu, Y., & Yu, S., et al., 2017. Newly discovered seagrass beds and their potential for blue carbon in the coastal seas of Hainan island, south china sea. Marine Pollution Bulletin, 125, 513-521."
34,Boao,"19°09'23.18""N","110°35'6.82""E",Natural,seagrass beds,Zostera japonica,0-100,59.67,Jiang et al. 2017,"Jiang, Z., Liu, S., Zhang, J., Zhao, C., Wu, Y., & Yu, S., et al., 2017. Newly discovered seagrass beds and their potential for blue carbon in the coastal seas of Hainan island, south china sea. Marine Pollution Bulletin, 125, 513-521."
