"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Season","U_depth_m","L_depth_m","Method","SOM_perc","BD_reported_g_cm3","DOI"
"66","Ford et al 2016","HF AH 22","AH",22,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",9.58,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"67","Ford et al 2016","HF AH 1","AH",1,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0,0.1,"LOI",11.18,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"68","Ford et al 2016","HF AH 1","AH",1,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.1,0.2,"LOI",10.12,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"69","Ford et al 2016","HF AH 1","AH",1,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.2,0.3,"LOI",10.14,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"70","Ford et al 2016","HF AH 2","AH",2,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0,0.1,"LOI",14.94,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"71","Ford et al 2016","HF AH 2","AH",2,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.1,0.2,"LOI",13.62,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"72","Ford et al 2016","HF AH 2","AH",2,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.2,0.3,"LOI",8.28,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"73","Ford et al 2016","HF AH 3","AH",3,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0,0.1,"LOI",16.67,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"74","Ford et al 2016","HF AH 3","AH",3,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.1,0.2,"LOI",20.75,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"75","Ford et al 2016","HF AH 3","AH",3,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Summer",0.2,0.3,"LOI",12.93,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
