"","Source","Original_source","Site_name","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","Year_collected_end","Method","DOI"
"84","Xia et al 2022","Xia et al 2022","SX Beihai 2","Beihai 2","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.1,0.2,"9.83 ","1.15 ","1.08 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"85","Xia et al 2022","Xia et al 2022","SX Beihai 2","Beihai 2","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.2,0.3,"6.94 ","0.78 ","1.49 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"86","Xia et al 2022","Xia et al 2022","SX Beihai 2","Beihai 2","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.3,0.4,"7.61 ","0.89 ","1.40 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"87","Xia et al 2022","Xia et al 2022","SX Beihai 4","Beihai 4","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0,0.1,"13.49 ","1.49 ","1.05 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"88","Xia et al 2022","Xia et al 2022","SX Beihai 4","Beihai 4","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.1,0.2,"11.72 ","1.35 ","1.06 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"89","Xia et al 2022","Xia et al 2022","SX Beihai 4","Beihai 4","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.2,0.3,"6.30 ","0.84 ","1.48 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"90","Xia et al 2022","Xia et al 2022","SX Beihai 4","Beihai 4","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.3,0.4,"4.69 ","0.79 ","1.53 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"91","Xia et al 2022","Xia et al 2022","SX Beihai 6","Beihai 6","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0,0.1,"13.58 ","1.55 ","0.99 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"92","Xia et al 2022","Xia et al 2022","SX Beihai 6","Beihai 6","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.1,0.2,"7.26 ","0.91 ","1.38 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"93","Xia et al 2022","Xia et al 2022","SX Beihai 6","Beihai 6","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.2,0.3,"5.83 ","0.79 ","1.34 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"94","Xia et al 2022","Xia et al 2022","SX Beihai 6","Beihai 6","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0.3,0.4,"4.50 ","0.70 ","1.52 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"95","Xia et al 2022","Xia et al 2022","SX Chongming Island 1","Chongming Island 1","Saltmarsh","31.5167","122.6167","direct from dataset","1","China","Shanghai","2015",0,0.1,"20.08 ","1.61 ","0.68 ","2019","EA","https://doi.org/10.1111/gcb.16325"
